Year,total_precip,avg_precip,min_precip,max_precip,std_precip,avg_month_precip,Annual_Variation
2017,5189.0,27.327858500185396,2,1388,520.6739440961167,27.327858500185396,-30.905459387483358
2018,5630.0,29.68192667779014,0,1587,480.0660623731116,29.68192667779014,8.498747350163804
2019,9068.0,48.71654268631814,0,3070,989.9729411667897,48.71654268631814,61.065719360568394
2020,6892.0,36.54151024286244,10,2004,683.3556685189417,36.54151024286244,-23.99647110719012
2021,4474.0,23.784992584352988,5,929,338.13279621886414,23.784992584352988,-35.08415554265816
2022,9184.0,49.667193872821656,0,3239,981.7110603739809,49.667193872821656,105.27492177022796
2023,3099.0,16.588188264738598,6,1452,395.84389140624154,16.588188264738598,-66.25653310104529
2024,4619.0,24.78494044308491,0,1233,497.6556783986537,24.78494044308491,49.04808002581478
2025,4129.0,21.968419771968854,0,1493,438.787887943663,21.968419771968854,-10.608356787183371
2026,5540.0,29.588813959955505,0,1153,454.46558692267297,29.588813959955505,34.172923225962705
2027,8814.0,47.33755677604746,0,1862,764.8019945770873,47.33755677604746,59.09747292418772
2028,3112.0,16.560570773081203,3,509,182.96364931236195,16.560570773081203,-64.69253460403903
2029,4129.0,21.860527901371896,0,1330,403.98007564130126,21.860527901371896,32.67994858611824
2030,7327.0,39.336652994067485,0,1444,558.0860895357753,39.336652994067485,77.45216759505934
2031,5579.0,29.515491750092696,0,1096,399.558269350117,29.515491750092696,-23.85696738091988
2032,6485.0,34.37829648683722,0,1901,611.4939170638254,34.37829648683722,16.239469438967546
2033,6742.0,36.58415600667408,6,2102,648.3630903819997,36.58415600667408,3.962991518889747
2034,4250.0,22.782588292547274,7,993,350.9537222363016,22.782588292547274,-36.9623257193711
2035,3600.0,19.090019002595476,0,830,268.22141464231987,19.090019002595476,-15.294117647058824
2036,5023.0,26.50773428809789,0,1181,395.99689124889335,26.50773428809789,39.527777777777786
2037,6339.0,33.485498934000745,12,1781,595.6780895447107,33.485498934000745,26.19948238104719
2038,3722.0,19.815860215053764,0,1039,356.0597072844878,19.815860215053764,-41.28411421359836
2039,6464.0,34.208640387467554,0,2365,656.3217522101811,34.208640387467554,73.6700698549167
2040,5058.0,27.675698692992214,0,2082,574.2138499327106,27.675698692992214,-21.751237623762375
2041,4378.0,23.431202493511307,0,1159,422.380447492829,23.431202493511307,-13.444049031237649
2042,4602.0,24.218089543937708,0,1364,430.5194536835705,24.218089543937708,5.116491548652347
2043,5922.0,31.538619299221356,6,1695,537.0540010092095,31.538619299221356,28.68318122555411
2044,5128.0,27.13772246941046,5,1374,404.0376520108296,27.13772246941046,-13.407632556568727
2045,5244.0,28.229873470522804,0,1451,481.0361921745787,28.229873470522804,2.262090483619339
2046,6087.0,32.60275305895439,2,1944,615.0841960104472,32.60275305895439,16.075514874141874
2047,5012.0,26.45701821468298,0,2186,603.9642273171382,26.45701821468298,-17.660588138656152
2048,5030.0,26.80558838524286,8,1312,406.5153096375301,26.80558838524286,0.35913806863527853
2049,6384.0,34.91354398405636,6,2786,801.8359614602659,34.91354398405636,26.918489065606366
2050,4272.0,22.571421950315166,0,1312,367.764994132246,22.571421950315166,-33.08270676691729
2051,5255.0,28.218512467556547,4,1187,415.1311859101307,28.218512467556547,23.010299625468168
2052,2764.0,14.694313125695217,1,902,295.5605870309176,14.694313125695217,-47.40247383444339
2053,5057.0,27.229583796811273,0,1230,443.8237689430208,27.229583796811273,82.95947901591896
2054,6535.0,34.59012328513163,0,1947,572.0900212591043,34.59012328513163,29.22681431678862
2055,4176.0,22.101965146459026,0,910,296.4833277544686,22.101965146459026,-36.09793420045907
2056,6525.0,35.23776997589915,0,2060,669.7250623135653,35.23776997589915,56.25
2057,5847.0,30.98462991286615,0,1698,503.214959490023,30.98462991286615,-10.390804597701154
2058,4377.0,23.247665229885058,0,2092,577.5910986785784,23.247665229885058,-25.141097998973837
2059,3631.0,19.333987995921394,0,1030,325.4556130420953,19.333987995921394,-17.043637194425408
