precip bcc-csm1-1 rcp60 RNEURONALES decimas 2
P3671 38.226 -1.928 831 geo 2006 2100 -1
P3671 2010 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 9 2 3 0 1 6 21 5 5 6 11
P3671 2010 6 7 0 0 0 0 0 0 8 3 5 5 3 0 13 6 3 2 9 32 11 3 5 0 0 0 0 0 0 11 54 -999
P3671 2010 7 73 21 7 0 0 18 40 0 0 0 30 0 0 28 59 28 43 47 0 0 0 0 0 0 0 0 0 0 0 38 0
P3671 2010 8 0 0 12 20 7 0 0 0 0 0 12 18 0 0 0 17 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0
P3671 2010 9 0 23 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 41 80 60 48 28 26 18 9 0 0 0 -999
P3671 2010 10 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 3 0 5 3 7 120 65 15 0
P3671 2010 11 5 0 0 0 0 0 0 0 0 1 9 16 13 10 15 2 0 2 2 0 0 0 0 0 0 0 0 0 0 0 -999
P3671 2010 12 0 3 6 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0
P3671 2011 1 0 0 0 0 0 0 0 0 0 0 0 0 16 18 0 3 21 11 29 52 71 8 22 7 2 1 3 0 0 0 1
P3671 2011 2 2 2 0 0 0 0 0 0 0 2 2 2 0 0 0 0 0 2 3 2 1 0 0 2 9 10 3 15 -999 -999 -999
P3671 2011 3 15 4 2 0 4 5 19 2 2 2 0 0 0 3 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0
P3671 2011 4 6 2 0 4 3 7 0 16 9 12 15 1 0 0 0 0 5 2 1 0 0 0 0 0 0 0 0 0 0 0 -999
P3671 2011 5 0 0 0 0 0 0 3 9 8 3 2 0 0 1 0 0 0 0 0 0 0 0 7 18 11 7 3 0 0 0 0
P3671 2011 6 5 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 12 16 29 39 0 0 0 0 0 -999
P3671 2011 7 8 10 7 12 16 8 7 33 7 0 0 0 0 0 0 0 0 0 0 0 6 20 8 0 0 0 0 0 0 0 0
P3671 2011 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 25 39 0 0 0 0 0 35
P3671 2011 9 38 26 0 7 13 52 44 0 0 34 32 0 0 0 0 0 0 0 0 0 15 15 0 0 0 0 0 0 0 0 -999
P3671 2011 10 0 0 0 0 0 0 3 71 3 0 0 0 0 0 0 0 0 0 0 3 8 1 0 0 0 4 0 0 0 12 24
P3671 2011 11 1 4 16 18 2 0 0 0 0 0 2 1 1 2 0 0 0 0 0 0 0 0 3 14 40 2 1 0 1 0 -999
P3671 2011 12 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 2 15 24 3 0 0
P3671 2012 1 2 1 8 9 5 2 0 0 0 0 0 2 2 0 0 0 0 1 6 2 2 2 2 0 0 0 0 2 2 0 0
P3671 2012 2 0 0 0 0 0 0 0 0 0 0 2 1 3 1 1 1 17 1 0 0 0 0 0 1 2 3 3 0 -999 -999 -999
P3671 2012 3 0 0 0 0 0 0 0 1 0 0 0 0 3 2 0 0 2 2 0 2 0 0 0 2 0 2 2 0 0 0 0
P3671 2012 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 -999
P3671 2012 5 49 23 0 0 0 0 0 3 13 96 139 48 31 59 12 4 10 11 9 14 3 5 23 47 20 11 2 5 21 22 2
P3671 2012 6 0 0 0 3 14 13 0 0 0 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 12 11 18 0 0 0 -999
P3671 2012 7 0 0 0 0 0 9 45 36 0 10 4 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
P3671 2012 8 0 0 0 0 0 0 0 0 0 0 4 8 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 31 0
P3671 2012 9 0 0 0 0 0 0 0 0 0 0 0 0 0 8 13 94 41 0 0 7 9 0 0 9 14 22 0 0 0 69 -999
P3671 2012 10 33 20 0 0 11 70 20 5 32 23 33 28 12 20 0 0 0 0 5 12 59 11 10 0 3 0 0 0 0 2 9
P3671 2012 11 0 0 0 0 0 2 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -999
P3671 2012 12 1 2 2 0 1 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0
P3671 2013 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 2 0 3 16 4 3 0 0 0
P3671 2013 2 0 0 0 2 2 2 29 42 3 2 0 0 0 0 0 0 0 2 4 0 0 1 17 14 19 20 50 33 -999 -999 -999
P3671 2013 3 19 0 0 0 0 0 0 0 0 3 5 8 25 4 11 0 0 1 3 4 1 0 1 0 0 0 0 0 0 33 30
P3671 2013 4 13 31 32 33 34 86 45 2 2 2 1 3 7 18 34 45 35 22 57 40 260 216 27 0 0 3 4 10 18 13 -999
P3671 2013 5 4 4 3 0 0 0 3 2 4 7 11 7 7 7 16 18 6 5 10 6 9 24 5 7 0 8 2 0 0 0 0
P3671 2013 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 14 14 7 0 0 0 0 0 0 0 0 0 -999
P3671 2013 7 0 0 0 0 41 29 33 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
P3671 2013 8 0 0 9 16 0 0 0 0 0 0 0 0 44 0 0 0 0 0 0 0 0 25 41 40 33 38 48 52 51 41 39
P3671 2013 9 0 0 0 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 -999
P3671 2013 10 0 5 13 24 62 35 4 0 0 0 4 0 0 2 21 3 12 101 26 0 0 0 1 0 0 0 0 0 0 0 0
P3671 2013 11 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 1 4 6 168 -999
P3671 2013 12 96 7 0 2 4 20 2 2 0 3 5 0 0 0 0 1 44 87 5 0 0 0 0 0 0 0 0 0 0 0 0
P3671 2014 1 0 0 19 2 0 0 0 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 1 6 9 19
P3671 2014 2 9 7 3 4 35 41 5 2 0 0 0 0 0 0 0 0 4 10 11 5 4 4 6 0 0 0 0 0 -999 -999 -999
P3671 2014 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 0 0 1 26 109 41 22 19 11 4 0 0 0 4
